id,titre,categorie,type_operation,prix_xof,devise,description,date_pub_brute,url,image_url,page_source,date_scraping
6646643,Appartement Meublé lumineux de standing,Appartements meublés,Location meublée,1200000,XOF,"Bel appartement décoré avec élégance, meubles design, avec internet, dans un immeuble neuf de standing avec ascenceur et groupe électrogène, Immeuble très sécurisé ( gardien 24/24 H + caméras et double porte sécurisée) et bien situé. Accès facile, en voiture : à 5 minutes à pied de la corniche ouest, de la VDN, du grand Auchan et des 7 cinémas Pathé, A 1 mn à pied de l'ave Cheikh Anta Diop, China Mall. A 15 mn en voiture : Lycée Américain et Lycée français. 
L'appartement est situé au dessus de la célèbre Galerie Arte.
135 mètres carrés + belle terrasse + balcon dans la chambre parents
parking sécurisé inclus au sous-sol, place N° 28
2 chambres et chacune leur salle de bain et wc, balcon pour chambre parentale, salon -salle à manger et sa terrasse, cuisine bien équipée, WC visiteurs, buanderie, douche et wc pour le personnel
entièrement climatisé
compris : internet, groupe électrogène, 2 ménages semaine par femme de ménage. Electricité en plus. 1 mois de caution. Longue durée souhaitée",2026-03-12 09:52:01,https://www.expat-dakar.com/annonce/appartement-meuble-lumineux-de-standing-6646643,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/4a9b96cbd51b638c48958f51e3f79f6f/-/horizon-files-prod/ed/picture/qzvzjp0d/b2fff01865b03ec72e8f5ce75094b31ed598552f.jpg,1,2026-03-12 22:17:50
6643996,Appartement à louer à sacré coeur 3,Appartements à louer,Location,600000,XOF,"Appartement à louer à sacré coeur 3 derrière Auchan au 2ème étage composé de 3 chambres avec salles d'eau attenantes, un salon lumineux avec balcon, un WC visiteurs, un espace familial, une cuisine équipée de placards. Réf :0MA1003",2026-03-10 12:08:02,https://www.expat-dakar.com/annonce/appartement-a-louer-a-sacre-coeur-3-6643996,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/0936f7a0aeb0aaf6853add450bf6185b/-/horizon-files-prod/ed/picture/q8vpkqm6/0580c6d1508a5518cdebea868867ee0e125a6c9a.jpg,1,2026-03-12 22:17:50
6645794,Appartement neuf à Mermoz dans une Résidence,Appartements à louer,Location,700000,XOF,"Appartement de haut standing dans la zone résidentielle de mermoz, en retrait dans une zone fréquentée uniquement par les riverains, pour une parfaite tranquillité. Appartement neuf (vient tout juste d'être livré et donc jamais occupé), avec excellent éclairage naturel. Il est composé de:
* 2 chambres avec chacune une salle de bain privative.
* Une cuisine entièrement équipée.
* Un grand salon.
* Une buanderie.
* Une toilette visiteur. Commodité / services:
* Dans un immeuble neuf de 8 étages.
* 2 ascenseurs.
* Service de gardiennage 24h/24.
* Salle de sport.
* Groupe électrogène.
* Place de parking privée / intérieure.
* Immeuble entièrement vidéo surveillé.",2026-03-12 08:48:29,https://www.expat-dakar.com/annonce/appartement-neuf-a-mermoz-dans-une-residence-6645794,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/801f1fe9415b5a96a9b793be6270d514/-/horizon-files-prod/ed/picture/qwegkzq5/d8c71a43e8ae43e625008c75a5d6daa0cbd011dc.jpg,1,2026-03-12 22:17:50
6639947,Appartement à louer à la sicap Karack,Appartements à louer,Location,700000,XOF,"Appartement à louer à la sicap Karack en bordure de route composé de 3 chambres climatisées chacune avec des placards et sa salle d'eau, la parentale avec un balcon, un grand salon climatisé avec un balcon, une cuisine semi-équipée, un petit espace buanderie et WC visiteurs. 
Réf :0MS0603",2026-03-06 11:34:19,https://www.expat-dakar.com/annonce/appartement-a-louer-a-la-sicap-karack-6639947,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/9a4d8c557a9190d8788b2aed9ac59563/-/horizon-files-prod/ed/picture/q0gn80ej/b10c5a5c97199f9a394d805b0166f0bd05553638.jpg,1,2026-03-12 22:17:50
6647442,STUDIO A LOUER DIEUPEUL À COTÉ DE MARMITON,Appartements à louer,Location,200000,XOF,"DIEUPEUL À COTÉ DE MARMITON
Studio disponible 
1 chambre 
Entrée salon 
1 salle d'eau extérieur 
1 cuisine avec placard 
Cour avant,cour arrière 
Niveau:RDC~Entrée personnelle",2026-03-12 14:02:54,https://www.expat-dakar.com/annonce/studio-a-louer-dieupeul-a-cote-de-marmiton-6647442,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/42d19ab86289fedb940b69dfc9f81181/-/horizon-files-prod/ed/picture/qen9x9x2/ae308d532aeb0063edac340ebaaa51d3772b6ce8.jpg,1,2026-03-12 22:17:50
6530583,VILLA R+1 à louer MERMOZ CITÉ BATRAIN,Maisons à louer,Location,800000,XOF,"A louer
VILLA R+1 à louer MERMOZ CITÉ BATRAIN 

COMPOSANT DE:
04 chambres salon ,04 salle de bain ,dressings,rangement,1 toilettes visiteurs ,cuisine équipée +placards,patios,esp familiale,balcons....

Garage, parking devant ,terrasse",2025-11-19 15:34:51,https://www.expat-dakar.com/annonce/villa-r1-a-louer-mermoz-cite-batrain-6530583,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/f58f65dad7dea15949b2bc1ea67c4d0a/-/horizon-files-prod/ed/picture/q2jke74v/e68e6ab3fec4841e8fca57c7e0fefc4c561ae72e.jpg,1,2026-03-12 22:17:50
6263004,Résidence Jamila F3/F4 à Castor,Appartements à vendre,Vente,60000000,XOF,"Découvrez Résidence Jamila, des appartements F3 et F4 dans un cadre sécurisé et harmonieux. Situé dans un immeuble R+4 et R+5, ce projet propose des commodités exclusives et 16 espaces commerciaux pour un confort optimal. Rentrez chez vous dans la paix et le bonheur, avec un emplacement de luxe alliant sérénité et prospérité
Découvrez des espaces modernes et bien agencés, parfaitement adaptés à votre style de vie.
Emplacement stratégique : Accédez facilement aux commodités essentielles et au centre-ville, dans un cadre qui vous rapproche de tout ce qui compte.
Investissement rentable : Un achat qui combine valeur et qualité, pour une vie agréable ou une rentabilité assurée.",2025-01-22 16:54:51,https://www.expat-dakar.com/annonce/residence-jamila-f3f4-a-castor-6263004,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/195fb64837fcb294a82d096c934a0d72/-/horizon-files-prod/ed/picture/q9mjvj80/38297223bb837f84f7ec14710d6c4669b9757a8b.jpg,1,2026-03-12 22:17:50
6609856,Somptueux Appartement F4 à vendre à la Résidence SIKI,Appartements à vendre,Vente,280000000,XOF,"Découvrez le summum du confort et de l'élégance dans cet appartement exceptionnel, situé au 7ème étage de la résidence SIKI au Almadies.
Profitez d'un cadre de vie unique avec des prestations de luxe pour un séjour inoubliable.
Espace de Vie Lumineux : Un grand salon et salle à manger baignés de lumière naturelle, s'ouvrant sur un balcon privatif pour des moments de détente.
Cuisine Moderne ouverte, entièrement équipée et aménagée avec goût, dotée d'une buanderie pratique et d'un second balcon pour votre confort.
Chambres Confortables : Deux chambres avec placards intégrés, chacune avec sa propre salle de douche.
Suite Parentale Majestueuse : Une chambre parentale spacieuse avec dressing, salle d'eau attenante et son propre balcon.
Toilette visiteurs.
Commodités de la Résidence : Luxe & Sécurité
Détente & Bien-être : Piscine, Salle de sport, aire de jeux pour enfants.
Climatisation VRV, domotique, panneaux solaires.
Sécurité Maximale : Vidéosurveillance, détection incendie, service de gardiennage 24h/24 et 7j/7.
Deux ascenseurs et parking souterrains
Tarif : 300 000 000 FCFA Négociable.",2026-02-12 12:10:04,https://www.expat-dakar.com/annonce/somptueux-appartement-f4-a-vendre-a-la-residence-siki-6609856,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b926d39fdb5cab6967fe3167dffda4bc/-/horizon-files-prod/ed/picture/qm56gwwm/2d7af2359a4d83655e4641d88a0657481c9aaa9f.jpg,1,2026-03-12 22:17:50
6636125,Appartements VEFA aux Almadies |Résidences Blue & Green,Appartements à vendre,Vente,316200000,XOF,"Situées aux Almadies, l'un des quartiers les plus prisés de Dakar, **les Résidences Blue & Green** proposent des appartements de haut standing actuellement disponibles en VEFA (Vente en l'État Futur d'Achèvement).

Ce programme immobilier allie architecture contemporaine, finitions de qualité et emplacement privilégié, à proximité des principales commodités, restaurants et zones d'affaires.

**Disponibilités actuelles :**
• Résidence Green : appartements F3 et F4
• Résidence Blue : F5 en duplex

L'acquisition en VEFA vous permet de bénéficier d'un **paiement échelonné par tranches, en fonction de l'avancement du chantier, offrant ainsi plus de flexibilité dans la gestion de votre investissement.**

Que ce soit pour une résidence principale ou un investissement immobilier durable, les Résidences Blue & Green représentent une belle opportunité aux Almadies.

Contactez-nous pour plus d'informations sur les disponibilités et les modalités d'acquisition.",2026-03-09 12:41:24,https://www.expat-dakar.com/annonce/appartements-vefa-aux-almadies-residences-blue-green-6636125,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/bc0005960b3548dbc19dbec78726c87d/-/horizon-files-prod/ed/picture/q0gn8kpg/7c6023acf360476c2d7f9b35e21752653d963494.jpg,1,2026-03-12 22:17:50
6515434,F3 à vendre virage,Appartements à louer,Location,90000000,XOF,A vendre au virage zone très accessible et résidentielle un appartement neuf de 2 chambres avec balconnet 2 salles de bain salon balcon buanderie cuisine équipée toilettes visiteurs. Immeuble avec ascenseur gardiennage H24 parking caméra de surveillance groupe électrogène salle de sport,2025-10-31 18:28:45,https://www.expat-dakar.com/annonce/f3-a-vendre-virage-6515434,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/c2ba546991a3a229b3f47d0b6106b4e8/-/horizon-files-prod/ed/picture/qm50exqr/0ebdd8330739da8b1dfeb40eb4d64477ab55f86e.jpg,1,2026-03-12 22:17:50
